Condition Type,Condition,N Trials,Mean Cooperation,Std Cooperation,Mean Payoff,Std Payoff
Curriculum,Communication Only Curriculum,1,0.000,0.000,186.7,0.0
Curriculum,Control Group,30,0.000,0.000,211.7,22.7
Curriculum,Cooperation First Curriculum,1,0.000,0.000,191.0,0.0
Curriculum,Direct Precursor,30,0.000,0.000,199.0,52.8
Curriculum,Full Curriculum,30,0.000,0.000,153.6,40.1
Curriculum,High Success Diagnostic,1,0.000,0.000,0.0,0.0
Curriculum,Minimal Punishment Diagnostic,1,0.000,0.000,0.0,0.0
Curriculum,Punishment Focused Curriculum,1,0.000,0.000,169.6,0.0
Curriculum,Punishment Mechanism Curriculum,2,0.000,0.000,174.7,22.0
Curriculum,Scrambled Curriculum,30,0.000,0.000,182.1,39.8
Curriculum,Success Driven Curriculum,2,0.000,0.000,239.7,12.7
Curriculum,Success First Diagnostic,1,0.000,0.000,0.0,0.0
